1. Fatura Tarihi,2. Ilk Endeks Puant
31-12-2023,"38.288,517"
29-02-2024,"34.737,073"
30-06-2023,"7.986,925"
31-03-2024,"152,836"
31-01-2024,"52.774,956"
31-05-2023,"16.860,742"
29-02-2024,"55.997,679"
31-05-2024,"66.088,578"
31-08-2023,"23.875,045"
31-08-2023,"23.875,045"
31-05-2023,"5.314,17"
31-05-2024,"51.007,93"
31-01-2024,"117,472"
30-11-2023,"45.133,174"
30-06-2023,"519,165"
31-07-2023,"62,845"
30-09-2023,"36.236,28"
30-06-2023,"12.620,66"
31-10-2023,"40.979,67"
31-10-2023,"22.968,99"
30-11-2023,"33.729,674"
31-12-2023,106.717
31-12-2023,"49.352,648"
31-07-2023,"16.307,845"
30-09-2023,"74,323"
31-05-2023,"9.994,314"
30-11-2023,"98,987"
31-10-2023,"28.896,138"
29-02-2024,"41.837,37"
29-02-2024,"41.837,37"
31-01-2024,"38.878,44"
31-03-2024,"59.083,47"
31-05-2024,"173,634"
30-06-2024,"53.683,60"
30-06-2024,"53.683,60"
30-04-2024,"47.143,37"
