1. Fatura Tarihi,2. Toplam Tuketim
31-12-2023,"589,920"
29-02-2024,"4.235,194"
30-06-2023,"5.835,49"
31-03-2024,"0,000"
31-01-2024,"3.222,723"
I am not here I do not sleep. I am a thousand winds that blow I am the diamond I
29-02-2024,"3.085,79"
31-05-2024,"597,980"
31-08-2023,"5.021,09"
31-08-2023,"5.021,09"
31-05-2023,"2.672,75"
31-05-2024,"708,803"
31-01-2024,"3.077,142"
30-11-2023,"4.219,474"
30-06-2023,"4.625,54"
31-07-2023,"3.979,27"
30-09-2023,"4.743,39"
30-06-2023,"3.687,179"
31-10-2023,"4.153,51"
31-10-2023,"3.411,85"
30-11-2023,"4.558,843"
31-12-2023,"2.851,601"
31-12-2023,"3.422,30"
31-07-2023,"7.567,20"
30-09-2023,"5.167,31"
31-05-2023,"2.626,35"
30-11-2023,"2.427,49"
31-10-2023,"4.833,536"
29-02-2024,"5.306,001"
29-02-2024,"5.306,001"
31-01-2024,"2.958,936"
31-03-2024,"154,601"
31-05-2024,"1.440,495"
30-06-2024,"2.222,86"
30-06-2024,"2.222,86"
30-04-2024,"0,000"
